episode,episode_length,episode_reward,learning_rate
683,23,-1.0,0.0003
684,9,1.0,0.0003
685,21,1.0,0.0003
686,8,1.0,0.0003
687,24,-1.0,0.0003
688,10,1.0,0.0003
689,16,1.0,0.0003
690,8,1.0,0.0003
691,22,1.0,0.0003
692,7,1.0,0.0003
693,24,1.0,0.0003
694,7,1.0,0.0003
695,23,1.0,0.0003
696,10,1.0,0.0003
697,23,1.0,0.0003
698,7,1.0,0.0003
699,24,1.0,0.0003
700,9,1.0,0.0003
701,23,1.0,0.0003
702,11,1.0,0.0003
703,23,1.0,0.0003
704,7,1.0,0.0003
705,24,1.0,0.0003
706,11,1.0,0.0003
707,25,-1.0,0.0003
708,9,1.0,0.0003
709,21,1.0,0.0003
710,9,1.0,0.0003
711,25,-1.0,0.0003
712,7,1.0,0.0003
713,19,1.0,0.0003
714,11,1.0,0.0003
715,25,-1.0,0.0003
716,11,1.0,0.0003
717,18,1.0,0.0003
718,7,1.0,0.0003
719,22,1.0,0.0003
720,7,1.0,0.0003
721,23,1.0,0.0003
722,8,1.0,0.0003
723,16,1.0,0.0003
724,9,1.0,0.0003
725,24,1.0,0.0003
726,23,1.0,0.0003
727,25,-1.0,0.0003
728,9,1.0,0.0003
729,24,1.0,0.0003
730,17,1.0,0.0003
731,24,-1.0,0.0003
732,7,1.0,0.0003
733,20,1.0,0.0003
734,11,1.0,0.0003
735,20,1.0,0.0003
736,9,1.0,0.0003
737,20,1.0,0.0003
738,7,1.0,0.0003
739,22,1.0,0.0003
740,10,1.0,0.0003
741,19,1.0,0.0003
742,10,1.0,0.0003
743,23,-1.0,0.0003
744,21,1.0,0.0003
745,23,1.0,0.0003
746,8,1.0,0.0003
747,21,1.0,0.0003
748,12,1.0,0.0003
749,22,1.0,0.0003
750,8,1.0,0.0003
751,21,1.0,0.0003
752,8,1.0,0.0003
753,21,-1.0,0.0003
754,12,1.0,0.0003
755,23,1.0,0.0003
756,8,1.0,0.0003
757,20,1.0,0.0003
758,9,1.0,0.0003
759,22,1.0,0.0003
760,7,1.0,0.0003
761,25,-1.0,0.0003
762,8,1.0,0.0003
763,23,1.0,0.0003
764,8,1.0,0.0003
765,25,-1.0,0.0003
766,8,1.0,0.0003
767,25,-1.0,0.0003
768,9,1.0,0.0003
769,20,1.0,0.0003
770,22,1.0,0.0003
771,24,1.0,0.0003
772,9,1.0,0.0003
773,23,1.0,0.0003
774,7,1.0,0.0003
775,22,1.0,0.0003
776,11,1.0,0.0003
777,22,1.0,0.0003
778,11,1.0,0.0003
779,24,-1.0,0.0003
780,7,1.0,0.0003
781,23,1.0,0.0003
782,9,1.0,0.0003
783,24,-1.0,0.0003
784,8,1.0,0.0003
785,21,1.0,0.0003
786,19,-1.0,0.0003
787,20,1.0,0.0003
788,10,1.0,0.0003
789,24,1.0,0.0003
790,8,1.0,0.0003
791,25,-1.0,0.0003
792,9,1.0,0.0003
793,24,1.0,0.0003
794,8,1.0,0.0003
795,19,1.0,0.0003
796,9,1.0,0.0003
797,22,1.0,0.0003
798,17,1.0,0.0003
799,23,1.0,0.0003
800,8,1.0,0.0003
801,24,1.0,0.0003
802,10,1.0,0.0003
803,24,1.0,0.0003
804,7,1.0,0.0003
805,24,1.0,0.0003
806,7,1.0,0.0003
807,24,1.0,0.0003
808,10,1.0,0.0003
809,20,1.0,0.0003
810,9,1.0,0.0003
811,20,1.0,0.0003
812,8,1.0,0.0003
813,21,1.0,0.0003
814,8,1.0,0.0003
815,25,-1.0,0.0003
816,7,1.0,0.0003
817,22,1.0,0.0003
818,8,1.0,0.0003
819,23,1.0,0.0003
820,24,1.0,0.0003
821,18,1.0,0.0003
822,7,1.0,0.0003
823,23,1.0,0.0003
824,9,1.0,0.0003
825,20,1.0,0.0003
826,10,1.0,0.0003
827,21,1.0,0.0003
828,16,-1.0,0.0003
829,24,1.0,0.0003
830,8,1.0,0.0003
831,22,1.0,0.0003
832,10,1.0,0.0003
833,17,1.0,0.0003
834,9,1.0,0.0003
835,25,-1.0,0.0003
836,11,1.0,0.0003
837,22,1.0,0.0003
838,14,1.0,0.0003
839,18,1.0,0.0003
840,8,1.0,0.0003
841,24,1.0,0.0003
842,8,1.0,0.0003
843,23,1.0,0.0003
844,20,-1.0,0.0003
845,25,-1.0,0.0003
846,8,1.0,0.0003
847,23,1.0,0.0003
848,7,1.0,0.0003
849,25,-1.0,0.0003
850,9,1.0,0.0003
851,20,1.0,0.0003
852,8,1.0,0.0003
853,24,1.0,0.0003
854,8,1.0,0.0003
855,23,-1.0,0.0003
856,10,1.0,0.0003
857,22,1.0,0.0003
858,21,-1.0,0.0003
859,22,1.0,0.0003
860,7,1.0,0.0003
861,23,1.0,0.0003
862,10,1.0,0.0003
863,23,-1.0,0.0003
864,12,1.0,0.0003
865,23,1.0,0.0003
866,10,1.0,0.0003
867,20,1.0,0.0003
868,11,1.0,0.0003
869,24,1.0,0.0003
870,8,1.0,0.0003
871,24,1.0,0.0003
872,7,1.0,0.0003
873,18,1.0,0.0003
874,13,1.0,0.0003
875,22,1.0,0.0003
